fullpath,item_idx,pose_detected,pose_512,pose_is_none
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/0/0.png,0,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x000\xe0?\xcd\xcc\xcc\xcc\xcc\xcc\xc2?\x00\x00\x00\x00\x00\xa0\xdd?333333\xce?\x00\x00\x00\x00\x00\xe0\xd7?333333\xcf?\x00\x00\x00\x00\x00\xa0\xd5?33333\xb3\xd6?\x00\x00\x00\x00\x00 \xda?\x00\x00\x00\x00\x00\x00\xd8?\x00\x00\x00\x00\x00\xa0\xe1?\xcd\xcc\xcc\xcc\xcc\xcc\xcc?\x00\x00\x00\x00\x00\xc0\xe2?\x9a\x99\x99\x99\x99\x19\xd5?\x00\x00\x00\x00\x00\x10\xe0?fffff\xe6\xd7?\x00\x00\x00\x00\x00\xe0\xda?\x9a\x99\x99\x99\x99\x19\xdd?\x00\x00\x00\x00\x00`\xdb?\x00\x00\x00\x00\x00\xc0\xe3?\x00\x00\x00\x00\x00\xe0\xdc?\x00\x00\x00\x00\x00\x80\xe9?\x00\x00\x00\x00\x00\x10\xe1?\xcd\xcc\xcc\xcc\xcc\xcc\xdc?\x00\x00\x00\x00\x00\xb0\xe1?33333\xf3\xe3?\x00\x00\x00\x00\x00\xb0\xe1?ffffff\xea?\x00\x00\x00\x00\x00\xc0\xde?ffffff\xc1?\x00\x00\x00\x00\x00@\xe0?\x9a\x99\x99\x99\x99\x99\xc0?\x00\x00\x00\x00\x00@\xdb?\x9a\x99\x99\x99\x99\x99\xc2?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/0/1.png,0,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00`\xe1?\x9a\x99\x99\x99\x99\x99\xcc?\x00\x00\x00\x00\x00\xe0\xe1?\xcd\xcc\xcc\xcc\xccL\xd7?\x00\x00\x00\x00\x00\xc0\xd9?33333\xb3\xd8?\x00\x00\x00\x00\x00\x00\xd5?33333s\xe2?\x00\x00\x00\x00\x00\xa0\xd5?fffff\xe6\xe8?\x00\x00\x00\x00\x00\xe0\xe6?\xcd\xcc\xcc\xcc\xcc\xcc\xd5?\x00\x00\x00\x00\x00 \xea?\x9a\x99\x99\x99\x99\x19\xdf?\x00\x00\x00\x00\x00p\xee?ffffff\xe2?\x00\x00\x00\x00\x000\xe1?\xcd\xcc\xcc\xcc\xcc\x0c\xe8?\x00\x00\x00\x00\x00\xa0\xe1?33333\xf3\xef?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00P\xe7?33333\xf3\xe6?\x00\x00\x00\x00\x00\x00\xe9?\x9a\x99\x99\x99\x99\x19\xef?\x00\x00\x00\x00\x00\xa0\xe9?33333\xf3\xef?\x00\x00\x00\x00\x00\x00\xe0?\x00\x00\x00\x00\x00\x00\xca?\x00\x00\x00\x00\x00\x10\xe2?\xcd\xcc\xcc\xcc\xcc\xcc\xc7?\x00\x00\x00\x00\x00\xe0\xdc?ffffff\xcb?\x00\x00\x00\x00\x00\xa0\xe3?333333\xc5?\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/0/2.png,0,False,,True
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/0/3.png,0,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\x00\xd5?\xcd\xcc\xcc\xcc\xcc\xcc\xcb?\x00\x00\x00\x00\x00\xf0\xe0?\xcd\xcc\xcc\xcc\xccL\xd2?\x00\x00\x00\x00\x00\x80\xe6?\x00\x00\x00\x00\x00\x00\xd1?\x00\x00\x00\x00\x00\xe0\xea?fffff\xe6\xdd?\x00\x00\x00\x00\x00\xb0\xea?\xcd\xcc\xcc\xcc\xccL\xe4?\x00\x00\x00\x00\x00\x80\xd6?\x00\x00\x00\x00\x00\x00\xd4?\x00\x00\x00\x00\x00`\xd1?\x9a\x99\x99\x99\x99\x99\xe1?\x00\x00\x00\x00\x00\x00\xc9?fffff\xe6\xe6?\x00\x00\x00\x00\x00p\xe6?333333\xe6?\x00\x00\x00\x00\x00 \xe8?ffffff\xef?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000\xe0?\xcd\xcc\xcc\xcc\xcc\xcc\xe6?\x00\x00\x00\x00\x00\xe0\xe0?33333\xf3\xef?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc0\xd4?\xcd\xcc\xcc\xcc\xcc\xcc\xc8?\x00\x00\x00\x00\x00\x00\xd5?ffffff\xc7?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xda?\xcd\xcc\xcc\xcc\xcc\xcc\xc2?\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/1/4.png,1,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\x80\xe6?ffffff\xc1?\x00\x00\x00\x00\x00p\xe1?\x9a\x99\x99\x99\x99\x19\xd4?\x00\x00\x00\x00\x00 \xe8?ffffff\xd2?\x00\x00\x00\x00\x00\xb0\xec?33333\xf3\xe1?\x00\x00\x00\x00\x00p\xed?\x00\x00\x00\x00\x00@\xe9?\x00\x00\x00\x00\x00\xa0\xd5?ffffff\xd5?\x00\x00\x00\x00\x00\x00\xd3?333333\xe4?\x00\x00\x00\x00\x00@\xd4?\x00\x00\x00\x00\x00\x00\xeb?\x00\x00\x00\x00\x00\xc0\xe7?fffff\xe6\xe9?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x80\xde?\xcd\xcc\xcc\xcc\xcc\x8c\xea?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xe6?\xcd\xcc\xcc\xcc\xcc\xcc\xb8?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe0\xe2?ffffff\xb6?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/1/5.png,1,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\x00\xdf?\xcd\xcc\xcc\xcc\xcc\xcc\xb4?\x00\x00\x00\x00\x00\x80\xde?\x00\x00\x00\x00\x00\x00\xca?\x00\x00\x00\x00\x00\xc0\xd9?ffffff\xcc?\x00\x00\x00\x00\x00\x80\xd9?fffff\xe6\xd6?\x00\x00\x00\x00\x00\xc0\xd6?\x9a\x99\x99\x99\x99\x99\xde?\x00\x00\x00\x00\x00\xf0\xe1?\x00\x00\x00\x00\x00\x00\xc8?\x00\x00\x00\x00\x00 \xe3?\x00\x00\x00\x00\x00\x00\xd4?\x00\x00\x00\x00\x00\xe0\xe0?\xcd\xcc\xcc\xcc\xcc\xcc\xda?\x00\x00\x00\x00\x00\xc0\xd9?fffff\xe6\xdd?\x00\x00\x00\x00\x00\xa0\xd9?\x00\x00\x00\x00\x00\x00\xe5?\x00\x00\x00\x00\x00@\xda?fffff\xa6\xeb?\x00\x00\x00\x00\x00\x80\xe0?\x00\x00\x00\x00\x00\x80\xdd?\x00\x00\x00\x00\x00\xf0\xe1?fffff\xa6\xe5?\x00\x00\x00\x00\x00\x90\xe3?33333s\xeb?\x00\x00\x00\x00\x00`\xdd?\x00\x00\x00\x00\x00\x00\xb2?\x00\x00\x00\x00\x00\x10\xe0?\x9a\x99\x99\x99\x99\x99\xb1?\x00\x00\x00\x00\x00@\xda?\x9a\x99\x99\x99\x99\x99\xb7?\x00\x00\x00\x00\x000\xe0?ffffff\xb6?\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/1/6.png,1,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\x80\xd5?\x00\x00\x00\x00\x00\x00\xba?\x00\x00\x00\x00\x00\x80\xd8?\x00\x00\x00\x00\x00\x80\xd6?\x00\x00\x00\x00\x00\x00\xcb?\x00\x00\x00\x00\x00\x00\xd7?\x00\x00\x00\x00\x00@\xcc?33333s\xe1?\x00\x00\x00\x00\x00\x80\xca?\x9a\x99\x99\x99\x99\x99\xe6?\x00\x00\x00\x00\x00\xc0\xe1?\x00\x00\x00\x00\x00\x00\xd6?\x00\x00\x00\x00\x00\x00\xe7?ffffff\xe0?\x00\x00\x00\x00\x00P\xe6?\x9a\x99\x99\x99\x99Y\xe6?\x00\x00\x00\x00\x00\xe0\xd0?fffff\xe6\xe9?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00@\xdf?\x9a\x99\x99\x99\x99\x19\xea?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00@\xd4?\x9a\x99\x99\x99\x99\x99\xb3?\x00\x00\x00\x00\x00 \xd9?\x9a\x99\x99\x99\x99\x99\xb5?\x00\x00\x00\x00\x00 \xd2?333333\xbf?\x00\x00\x00\x00\x00`\xdd?\x00\x00\x00\x00\x00\x00\xc4?\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/1/7.png,1,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00`\xda?333333s?\x00\x00\x00\x00\x00\xa0\xd7?333333\xe0?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x80\xe2?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xe9?333333\xdc?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe0\xd6?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdd?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa8?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/10/10.png,10,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\x90\xe0?\xcd\xcc\xcc\xcc\xcc\xcc\xc3?\x00\x00\x00\x00\x00\xc0\xdd?333333\xce?\x00\x00\x00\x00\x00\x80\xd8?\x00\x00\x00\x00\x00\x00\xcf?\x00\x00\x00\x00\x00\xc0\xd6?\x9a\x99\x99\x99\x99\x99\xd5?\x00\x00\x00\x00\x00\xe0\xdd?\x9a\x99\x99\x99\x99\x99\xd3?\x00\x00\x00\x00\x00\x90\xe1?\x9a\x99\x99\x99\x99\x99\xcd?\x00\x00\x00\x00\x00\xc0\xe1?\x00\x00\x00\x00\x00\x00\xd4?\x00\x00\x00\x00\x00 \xda?\xcd\xcc\xcc\xcc\xccL\xd3?\x00\x00\x00\x00\x00\xc0\xda?fffff\xe6\xdd?\x00\x00\x00\x00\x00\xe0\xda?\xcd\xcc\xcc\xcc\xccL\xe4?\x00\x00\x00\x00\x00\x80\xdc?\x9a\x99\x99\x99\x99\x19\xea?\x00\x00\x00\x00\x00\x10\xe1?\x9a\x99\x99\x99\x99\x99\xdd?\x00\x00\x00\x00\x00`\xe2?\x00\x00\x00\x00\x00@\xe4?\x00\x00\x00\x00\x00\x90\xe3?33333\xb3\xea?\x00\x00\x00\x00\x00\x00\xe0?333333\xc2?\x00\x00\x00\x00\x00\xc0\xe0?\x00\x00\x00\x00\x00\x00\xc2?\x00\x00\x00\x00\x00@\xdc?333333\xc3?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/10/11.png,10,False,,True
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/10/8.png,10,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\xb0\xe2?ffffff\xc5?\x00\x00\x00\x00\x00\x00\xde?\x00\x00\x00\x00\x00\x80\xd1?\x00\x00\x00\x00\x00p\xe4?33333\xb3\xd1?\x00\x00\x00\x00\x00P\xe8?ffffff\xde?\x00\x00\x00\x00\x00\x80\xe8?333333\xe4?\x00\x00\x00\x00\x00\x00\xd3?\x9a\x99\x99\x99\x99\x99\xd1?\x00\x00\x00\x00\x00\x00\xc3?\x00\x00\x00\x00\x00\x80\xde?\x00\x00\x00\x00\x00\x00\xb1?33333s\xe4?\x00\x00\x00\x00\x00P\xe3?\x00\x00\x00\x00\x00@\xe6?\x00\x00\x00\x00\x00\x80\xe4?33333s\xed?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00`\xd9?\x00\x00\x00\x00\x00\x80\xe6?\x00\x00\x00\x00\x00\x00\xda?33333\xf3\xef?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00p\xe2?ffffff\xc2?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc0\xe0?\xcd\xcc\xcc\xcc\xcc\xcc\xc1?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x94t\x94b.',False
/mnt/datadrive/asos_dataset/tshirts_orig_bigest/10/9.png,10,True,b'\x80\x04\x95\xad\x01\x00\x00\x00\x00\x00\x00\x8c\x15numpy.core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x12K\x02\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f8\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B \x01\x00\x00\x00\x00\x00\x00\x00\x00\xcf?333333\xc3?\x00\x00\x00\x00\x00\xc0\xd6?ffffff\xd3?\x00\x00\x00\x00\x00\x00\xc9?\xcd\xcc\xcc\xcc\xcc\xcc\xd2?\x00\x00\x00\x00\x00\x00\xc2?\x9a\x99\x99\x99\x99\x99\xdf?\x00\x00\x00\x00\x00\x00\xd5?\x00\x00\x00\x00\x00\x80\xe2?\x00\x00\x00\x00\x00`\xe0?333333\xd4?\x00\x00\x00\x00\x00p\xe2?\x9a\x99\x99\x99\x99\x19\xdf?\x00\x00\x00\x00\x00\x80\xde?fffff\xa6\xe1?\x00\x00\x00\x00\x00\xc0\xcf?33333s\xe6?\x00\x00\x00\x00\x00@\xcc?33333\xf3\xef?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdd?33333s\xe6?\x00\x00\x00\x00\x00\x80\xdc?\xcd\xcc\xcc\xcc\xcc\x8c\xef?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc0\xce?\x9a\x99\x99\x99\x99\x99\xc0?\x00\x00\x00\x00\x00\xc0\xd1?333333\xbf?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa0\xd8?\x9a\x99\x99\x99\x99\x99\xc1?\x94t\x94b.',False
